,mean,mean_ci_lower,mean_ci_upper
2025-11-01,20.090791225516934,18.19745185726532,21.984130593768548
2025-12-01,17.14563501754706,15.160427702008851,19.13084233308527
2026-01-01,21.232220093762365,19.23811255625322,23.22632763127151
2026-02-01,20.236778047409626,18.24178801840965,22.2317680764096
2026-03-01,20.245677581143582,18.250599855871943,22.24075530641522
2026-04-01,22.246034418837315,20.250947976973215,24.241120860701415
2026-05-01,24.246950585177796,22.25186327690699,26.2420378934486
2026-06-01,24.246975692595004,22.251888298205433,26.242063086984576
2026-07-01,18.247070157642774,16.251982754693202,20.242157560592346
2026-08-01,18.24707153740618,16.25198413360576,20.242158941206597
2026-09-01,19.24708129319599,17.251993889311002,21.242168697080977
2026-10-01,21.2470813101711,19.251993906217905,23.242168714124297
