,mean,mean_ci_lower,mean_ci_upper
2025-11-01,160.2276201387345,146.79923928389343,173.65600099357556
2025-12-01,144.0153534211647,130.4914580900452,157.53924875228418
2026-01-01,167.60419705505825,154.07894300889214,181.12945110122436
2026-02-01,161.7899843900701,148.26471094741336,175.31525783272681
