,mean,mean_ci_lower,mean_ci_upper
2025-11-01,124.33444679538133,113.54556827154855,135.1233253192141
2025-12-01,104.40117256648402,93.58931990239745,115.2130252305706
2026-01-01,130.1279180146194,119.315967507296,140.93986852194283
2026-02-01,129.2285073843341,118.41655645986866,140.04045830879957
2026-03-01,134.19417198778083,123.38222106153694,145.00612291402473
2026-04-01,136.20605709335263,125.39410616710116,147.0180080196041
2026-05-01,141.20195399587553,130.39000306962402,152.01390492212704
2026-06-01,150.20337121919843,139.39142029294692,161.01532214544994
2026-07-01,118.20288175200241,107.3909308257509,129.01483267825392
2026-08-01,104.20305080258484,93.39109987633333,115.01500172883635
2026-09-01,110.20299241664425,99.39104149039275,121.01494334289575
2026-10-01,122.20301258173443,111.39106165549944,133.0149635079694
