,mean,mean_ci_lower,mean_ci_upper
2024-11-01,457.7802278146221,432.5907474830272,482.969708146217
2024-12-01,405.2479740307037,379.5432354971134,430.95271256429396
2025-01-01,482.9495880291085,457.22377645760815,508.67539960060884
